gene_id,mean_disease,mean_control,log2FC,pvalue,padj,gene_name,biotype
ENSG00000228495,0.7948196852759403,1.3552581052344979,-0.5604384199585576,1.4930789937750433e-10,1.066357017354136e-06,LINC01013,lncRNA
ENSG00000230910,3.6070672229623733,5.0598996834324845,-1.4528324604701113,7.2473049783639e-10,2.5880126077737482e-06,ADGRB3-DT,lncRNA
ENSG00000233273,1.065863101675827,2.0466518621891354,-0.9807887605133083,3.840256113107898e-09,9.14236971993887e-06,AMMECR1LP1,processed_pseudogene
ENSG00000240244,1.7945999454631272,3.0349504817289636,-1.2403505362658365,7.585822192623937e-09,1.096372219999697e-05,GAPDHP33,processed_pseudogene
ENSG00000288087,1.0755363474845925,1.9908084739604601,-0.9152721264758676,1.0669200634083609e-08,1.096372219999697e-05,,lncRNA
ENSG00000281327,1.1898070184629173,0.42454730337385915,0.7652597150890581,1.1274370548264301e-08,1.096372219999697e-05,LINC01338,lncRNA
ENSG00000250933,1.0099431558802006,1.8799927248547341,-0.8700495689745336,1.2280842565104422e-08,1.096372219999697e-05,GAPDHP66,processed_pseudogene
ENSG00000231770,1.4161138486213865,2.1526154589954754,-0.7365016103740889,1.1572896863043525e-08,1.096372219999697e-05,TMEM44-AS1,lncRNA
ENSG00000281453,1.6212539672864967,0.0,1.6212539672864967,1.7567097776449714e-08,1.3940468035489317e-05,TGFB2-OT1,lncRNA
ENSG00000224668,1.7016167268246083,2.9702191843368833,-1.268602457512275,2.0316406112996788e-08,1.4509977245902306e-05,IPO8P1,processed_pseudogene
ENSG00000067601,1.739174448213936,2.55262574697269,-0.8134512987587539,3.3917483488465905e-08,2.2021697006783953e-05,PMS2P4,transcribed_unprocessed_pseudogene
ENSG00000253741,2.206657944328962,3.098120883224231,-0.8914629388952688,4.0067426709811116e-08,2.2034202642050105e-05,LNCOC1,lncRNA
ENSG00000248890,1.2123570397915497,1.886315455360271,-0.6739584155687213,4.2832696278694016e-08,2.2034202642050105e-05,HHIP-AS1,lncRNA
